P1 Strategy,P2 Strategy,Winner
Greedy,Random,Greedy
Strategic,Aggressive,Strategic
Strategic,Aggressive,Strategic
Strategic,Aggressive,Aggressive
Greedy,Strategic,Strategic
Aggressive,Greedy,Aggressive
Random,Smart,Draw
Random,Aggressive,Draw
Greedy,Random,Random
Greedy,Smart,Smart
Greedy,Random,Greedy
Random,Strategic,Random
Greedy,Aggressive,Greedy
Random,Aggressive,Aggressive
Random,Strategic,Strategic
Strategic,Greedy,Strategic
Smart,Greedy,Greedy
Aggressive,Greedy,Greedy
Strategic,Aggressive,Strategic
Strategic,Greedy,Greedy
Smart,Greedy,Smart
Random,Aggressive,Random
Smart,Greedy,Smart
Aggressive,Smart,Aggressive
Aggressive,Strategic,Strategic
Aggressive,Random,Aggressive
Smart,Strategic,Smart
Random,Smart,Smart
Random,Smart,Smart
Random,Smart,Smart
Greedy,Smart,Smart
Aggressive,Smart,Aggressive
Random,Smart,Smart
Strategic,Aggressive,Aggressive
Strategic,Smart,Smart
Strategic,Smart,Strategic
Aggressive,Strategic,Aggressive
Strategic,Smart,Smart
Random,Greedy,Random
Aggressive,Smart,Smart
Random,Strategic,Draw
Smart,Strategic,Strategic
Greedy,Strategic,Greedy
Greedy,Smart,Smart
Aggressive,Greedy,Greedy
Strategic,Random,Strategic
Random,Greedy,Random
Aggressive,Strategic,Aggressive
Greedy,Aggressive,Aggressive
Strategic,Random,Draw
Greedy,Random,Greedy
Aggressive,Random,Random
Greedy,Smart,Smart
Smart,Aggressive,Smart
Aggressive,Random,Random
Aggressive,Smart,Aggressive
Greedy,Smart,Draw
Aggressive,Strategic,Strategic
Aggressive,Random,Random
Random,Aggressive,Aggressive
Smart,Random,Random
Aggressive,Strategic,Aggressive
Greedy,Random,Random
Smart,Strategic,Strategic
Aggressive,Strategic,Aggressive
Smart,Random,Random
Aggressive,Random,Draw
Greedy,Random,Greedy
Random,Aggressive,Aggressive
Smart,Strategic,Smart
Random,Smart,Smart
Smart,Strategic,Strategic
Aggressive,Smart,Smart
Smart,Greedy,Smart
Strategic,Greedy,Greedy
Aggressive,Random,Aggressive
Random,Smart,Draw
Smart,Random,Smart
Smart,Aggressive,Smart
Smart,Strategic,Strategic
Smart,Strategic,Strategic
Smart,Greedy,Smart
Random,Strategic,Strategic
Smart,Greedy,Greedy
Aggressive,Random,Aggressive
Random,Smart,Random
Aggressive,Random,Aggressive
Aggressive,Greedy,Greedy
Smart,Strategic,Strategic
Strategic,Aggressive,Strategic
Random,Greedy,Greedy
Smart,Greedy,Smart
Strategic,Aggressive,Aggressive
Greedy,Smart,Greedy
Smart,Random,Draw
Aggressive,Random,Aggressive
Strategic,Smart,Smart
Smart,Random,Random
Aggressive,Strategic,Strategic
Strategic,Aggressive,Aggressive
Greedy,Aggressive,Aggressive
Random,Strategic,Strategic
Random,Smart,Smart
Random,Strategic,Random
Greedy,Smart,Smart
Strategic,Smart,Smart
Smart,Aggressive,Smart
Smart,Strategic,Draw
Aggressive,Greedy,Greedy
Greedy,Random,Greedy
Greedy,Strategic,Greedy
Greedy,Random,Greedy
Smart,Random,Random
Greedy,Smart,Draw
Random,Aggressive,Aggressive
Strategic,Greedy,Greedy
Greedy,Smart,Smart
Random,Aggressive,Random
Smart,Greedy,Smart
Smart,Greedy,Greedy
Greedy,Strategic,Greedy
Random,Greedy,Greedy
Greedy,Smart,Greedy
Random,Strategic,Random
Aggressive,Smart,Draw
Smart,Aggressive,Aggressive
Greedy,Strategic,Greedy
Greedy,Strategic,Strategic
Strategic,Smart,Smart
Aggressive,Greedy,Draw
Greedy,Random,Draw
Aggressive,Strategic,Aggressive
Random,Aggressive,Aggressive
Random,Aggressive,Random
Greedy,Random,Greedy
Smart,Strategic,Strategic
Aggressive,Strategic,Aggressive
Aggressive,Smart,Smart
Aggressive,Greedy,Aggressive
Aggressive,Random,Random
Aggressive,Strategic,Strategic
Greedy,Random,Greedy
Aggressive,Strategic,Aggressive
Aggressive,Greedy,Greedy
Aggressive,Smart,Draw
Aggressive,Strategic,Strategic
Strategic,Smart,Smart
Smart,Aggressive,Aggressive
Strategic,Random,Random
Random,Aggressive,Random
Greedy,Aggressive,Aggressive
Greedy,Aggressive,Greedy
Greedy,Random,Random
Aggressive,Random,Draw
Strategic,Greedy,Greedy
Smart,Strategic,Strategic
Strategic,Greedy,Greedy
Strategic,Smart,Smart
Strategic,Aggressive,Aggressive
Smart,Strategic,Strategic
Greedy,Smart,Smart
Aggressive,Smart,Aggressive
Strategic,Random,Strategic
Smart,Greedy,Smart
Aggressive,Smart,Smart
Greedy,Aggressive,Greedy
Strategic,Aggressive,Strategic
Random,Strategic,Random
Aggressive,Random,Draw
Aggressive,Smart,Smart
Smart,Strategic,Draw
Aggressive,Strategic,Strategic
Aggressive,Greedy,Greedy
Aggressive,Strategic,Aggressive
Aggressive,Strategic,Aggressive
Strategic,Random,Strategic
Random,Smart,Draw
Random,Greedy,Random
Random,Greedy,Random
Strategic,Greedy,Greedy
Aggressive,Greedy,Draw
Random,Smart,Smart
Smart,Strategic,Strategic
Random,Greedy,Random
Greedy,Random,Random
Aggressive,Smart,Aggressive
Random,Aggressive,Draw
Random,Aggressive,Random
Random,Smart,Random
Aggressive,Strategic,Aggressive
Aggressive,Random,Draw
Aggressive,Random,Aggressive
Aggressive,Random,Random
Strategic,Greedy,Strategic
Smart,Strategic,Smart
Strategic,Random,Random
Greedy,Random,Random
Strategic,Aggressive,Aggressive
Aggressive,Strategic,Aggressive
Aggressive,Strategic,Strategic
Aggressive,Random,Random
Random,Aggressive,Aggressive
Random,Smart,Smart
Random,Smart,Smart
Random,Greedy,Draw
Random,Strategic,Random
Random,Smart,Random
Strategic,Random,Strategic
Smart,Strategic,Smart
Greedy,Smart,Greedy
Strategic,Aggressive,Draw
Aggressive,Random,Random
Random,Aggressive,Draw
Smart,Greedy,Smart
Smart,Aggressive,Smart
Greedy,Random,Random
Strategic,Aggressive,Strategic
Aggressive,Greedy,Aggressive
Aggressive,Random,Random
Random,Smart,Draw
Greedy,Smart,Greedy
Strategic,Greedy,Greedy
Strategic,Smart,Strategic
Aggressive,Random,Random
Aggressive,Greedy,Aggressive
Greedy,Aggressive,Greedy
Greedy,Aggressive,Greedy
Greedy,Aggressive,Greedy
Aggressive,Greedy,Greedy
Random,Aggressive,Aggressive
Aggressive,Greedy,Aggressive
Random,Strategic,Random
Strategic,Aggressive,Aggressive
Strategic,Smart,Strategic
Greedy,Smart,Draw
Random,Smart,Smart
Smart,Greedy,Greedy
Random,Aggressive,Random
Aggressive,Strategic,Aggressive
Smart,Random,Random
Smart,Aggressive,Draw
Greedy,Strategic,Greedy
Strategic,Smart,Smart
Aggressive,Strategic,Draw
Aggressive,Greedy,Aggressive
Strategic,Greedy,Greedy
Random,Greedy,Greedy
Strategic,Random,Random
Aggressive,Strategic,Strategic
Greedy,Aggressive,Draw
Aggressive,Greedy,Draw
Greedy,Aggressive,Greedy
